id,session,timestamp,dst_ip,dst_port
295,1578413e60fe,2022-11-19T15:16:53.434287Z,98.137.11.164,80
296,1578413e60fe,2022-11-19T15:16:53.590067Z,2001:4998:124:1507::f001,80
297,1578413e60fe,2022-11-19T15:16:53.741874Z,77.88.55.77,80
298,1578413e60fe,2022-11-19T15:16:53.898312Z,2001:4998:124:1507::f001,80
299,b879a8be3e2e,2022-11-19T15:32:07.904237Z,216.58.211.14,80
300,b879a8be3e2e,2022-11-19T15:32:08.071090Z,2a00:1450:400f:80d::200e,80
301,b879a8be3e2e,2022-11-19T15:32:08.240164Z,74.6.231.20,80
302,b879a8be3e2e,2022-11-19T15:32:08.407508Z,2001:4998:24:120d::1:1,80
303,b879a8be3e2e,2022-11-19T15:32:08.579542Z,98.137.11.163,80
304,b879a8be3e2e,2022-11-19T15:32:08.747468Z,2a02:6b8:a::a,80
305,4313a69575c8,2022-11-19T16:43:50.488412Z,142.250.74.78,80
306,4313a69575c8,2022-11-19T16:43:50.646975Z,2a00:1450:400f:802::200e,80
307,4313a69575c8,2022-11-19T16:43:50.804406Z,74.6.143.25,80
308,4313a69575c8,2022-11-19T16:43:50.959083Z,2001:4998:24:120d::1:0,80
309,4313a69575c8,2022-11-19T16:43:51.115651Z,74.6.231.21,80
310,4313a69575c8,2022-11-19T16:43:51.271586Z,2001:4998:24:120d::1:1,80
311,4adb3ec00ea8,2022-11-19T17:31:51.814286Z,216.58.211.14,80
312,4adb3ec00ea8,2022-11-19T17:31:52.008789Z,2a00:1450:400f:80d::200e,80
313,4adb3ec00ea8,2022-11-19T17:31:52.209237Z,74.6.143.25,80
314,4adb3ec00ea8,2022-11-19T17:31:52.404771Z,2001:4998:44:3507::8001,80
315,4adb3ec00ea8,2022-11-19T17:31:52.608083Z,98.137.11.164,80
316,4adb3ec00ea8,2022-11-19T17:31:52.800525Z,2a00:1450:400f:80d::200e,80
317,e31d5cc1eedb,2022-11-19T18:42:13.263403Z,142.250.74.78,80
318,e31d5cc1eedb,2022-11-19T18:42:13.418338Z,2a00:1450:400f:802::200e,80
319,e31d5cc1eedb,2022-11-19T18:42:13.574817Z,142.250.74.78,80
320,e31d5cc1eedb,2022-11-19T18:42:13.731099Z,2a00:1450:400f:802::200e,80
321,e31d5cc1eedb,2022-11-19T18:42:13.886384Z,5.255.255.5,80
322,e31d5cc1eedb,2022-11-19T18:42:14.043167Z,2001:4998:24:120d::1:1,80
323,bf1a3446b7b9,2022-11-19T20:06:50.133354Z,142.250.74.78,80
324,bf1a3446b7b9,2022-11-19T20:06:50.291875Z,2a00:1450:400f:802::200e,80
325,bf1a3446b7b9,2022-11-19T20:06:50.447331Z,142.250.74.78,80
326,bf1a3446b7b9,2022-11-19T20:06:50.607815Z,2001:4998:124:1507::f001,80
